Reviewer,Rating,Date,Title,Content
Faza Fauzan Azhari,5,07 Aug 2023,Mungkin bisa di tambah free snack ya kak,Mungkin bisa di tambah free snack kak hehe
Bobobox Alun Alun Bandung,5,06 Aug 2023,Cleanliness is good and friendly service,Cleanliness is good and friendly service
Yonathan Kusnandar,5,06 Aug 2023,"Bersih, nyaman, makanan lengkap","It's comfy.. very quite even near a main street..
i like the pods (room).. it's enough for me who liked solo travel.. and also affordable price.."
Fajar Novitasari,5,31 Jul 2023,"Pelayanan ramah, kamar bersih.","Pelayanan ramah baik, kamar bersih sipp"
Aldy,4,29 Jul 2023,"Akses perbelanjaan dekat, parkir hotel jauh.","Dekat akses ke perbelanjaan, hanya saja parkir yg tidak dekat dgn hotel"
Euis Safitri Mustika,5,28 Jul 2023,"Pertama nginap di Bobobox, staf ramah,kamar nyaman","pertama kali nginep di Bobobox. Stafnya ramah dari mulai check in - out. Kamarnya bersih & nyaman.
hanya saja airnya saat subuh kecil sekali keluarnya.

tapi overall oke banget & mau nginep lagi di sini next trip."
Hilman Septiawan,5,25 Jul 2023,"Playanan Ramah, nyaman, jugaaa!",Playanan Ramah sekali nyaman jugaaa
Muhamad Afriansah,5,25 Jul 2023,"Next time datang lagi, ada rooftop yang indah","Next time kesini lgi insyaAllah, enak ada rooftop ny maa syaa Allah"
Muhamad Afriansah,5,24 Jul 2023,"Keren rekomendasi, dekat kota, jalanan nyaman","Keren deh maa syaa Allah, recommended bnget pokoknya, dket alun-alun, asia afrika, braga jdi enak jalannya"
Fortuna Widiastuti,4,24 Jul 2023,Cleanliness can be improved in smelly area.,It a bit smelly and can the cleanliness can be improved a bit.
Pupu Sopuroh,5,23 Jul 2023,Kunci langsung dikunci setelah di lock sistem.,"Yg no 29 tolong itu kunci nya setelah di lock di sistem gk langsung nge kunci, alangkah baik nya langsung kunci, overall udh enak dan nyaman bangett.. terimakasih atas pelayanan nya🙏"
Affif Satrio,4,22 Jul 2023,Colokan di kamar 15 susah,Colokan di kamar 15 agak susah
Erwin Soegiarto,4,22 Jul 2023,Perbaiki POD agar suara tidak terdengar.,"Improve di POD agar suara dr masing2 POD tidak terdengar, jadi semisal kalo ada yg mendengkur tidak terdengar di masing2 POD"
Ilda Jauhari,5,21 Jul 2023,Semua staff ramah & helpfull. Terima kasih bobobox,"Semuanya melebihi ekspektasi, pasti menginap di bobobox lagi. Semua staff ramah & helpfull. Thanks bobobox!!"
Irfan,5,19 Jul 2023,Keep sheet and duvet clean. TQ for your service.,Please keep the cleanliness of sheet and duvet. Any spot there. But thank you very much for your service
Ima Nurisma,5,18 Jul 2023,"Bagus, bersih, nyaman.","Bagus, sngat bersih, dan nyaman"
Rimawan A. Mulya,5,18 Jul 2023,Tempat nyaman dekat Mall & Masjid,"Tempatnya nyaman, bersih terawat.
Di dalam gak bising...

Ada rooftopnya
Sebelahan sama Mall, dekat dengan Masjid Raya Bandung.

Minusnya, tak ada lahan parkir, ada parkir inap jadi harus jalan kaki dulu sedikit. Tapi tak apa, biar sehat..."
Nindya Agustina,5,15 Jul 2023,"Nyaman dan bersih, sukses Bobobox!","MasyaAllah, nginep disini aman dan nyaman.. semua fasilitas bersih.. walaupun kamar mandinya bareng"" tapi bersih banget.. Terimakasih Bobobox.. Sukses selalu yaaa"
NUKITA MEDICA PUTRI,5,14 Jul 2023,"Aku bakal balik lagi di BoboBox, asik!",Aku bakal balik lagi pokoknya di BoboBox sumpah se asik itu😭😭
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
denandra fabio,5,07 Nov 2023,A comfortable place for rest,a comfortable and pleasant place to rest...
Nadya Surya Pratiwi,4,03 Nov 2023,Terima kasih atas layanan tersebut.,Terimakasih untuk pelayanannya
Tevi Andrian,4,03 Nov 2023,Lorong sempit tapi tempatnya okay,Pod yang saya tempati terlalu sempit lorongnya tapi overall it's okay
Mumun Musrin,5,02 Nov 2023,I don't expect the room to be comfortable.,I don't  expect the room could be that comfortable p
Nurul Diana Halimah Fadilla,5,30 Oct 2023,"Bagus, tolong perhatikan toilet. Terima kasih.",Sebenarnya bagus..hanya saja tolong lebih diperhatikan lagi ya untuk toiletnya..terima kasih
Dwika Yulistiaputri,5,27 Oct 2023,"Kamar bersih, wangi, staf ramah, titip tas ada","Kamar bersih, wangi, staf ramah semua. Boleh titip tas sebelum check in dan sesudah check out"
Narulia Ayu,5,27 Oct 2023,Terima kasih atas kenyamanannya.,Terima kasih atas kenyamanan nya ...
Hawally Garbi,5,26 Oct 2023,"Worth it, penginapan favorit, ga expect bagus.","Worth it paraaaahhhh💗💗💗
Ga expect ternyata sebagus itu. Bakal jd penginapan favorite kalo kemana mana"
Nurul Nisa Utami,5,23 Oct 2023,Saya suka menginap di bobobox.,I really like to stay in bobobox
Suryadi,5,23 Oct 2023,Kamar service dan pelayanan OK. Disarankan.,"Masih kedap suara
Untuk kamar service ok
Pelayanan ok.

Recommended"
Nida fadhilah,5,22 Oct 2023,"Staff ramah & sangat membantu, nyaman.",Nyaman staff nya ramah sangat membantu
Andini,4,19 Oct 2023,Pilih penginapan nyaman di Bandung.,"Nyaman dan posisi penginapannya gk terlalu klo mau kmana"" 😁 bkalan pilih d sini lg klo k bndung .."
Sinta Aprilya,5,16 Oct 2023,"Staff ramah, pelayanan bagus.",semua staff nya ramah2 pelayanan good
Sinta Aprilya,5,15 Oct 2023,"Req kamar no 7, excellent service","req kamar no 7 langsung dapet, excellent service"
Trifena Klaudia Natan,5,15 Oct 2023,"Very cozy, wish stay longer",Very cozy 👌 i wish i could stay longer
IqbalSaptaAbdiDwitama,5,13 Oct 2023,Staycation di Bobobox nyaman,staycation di bobobox emang bikin nyaman 😇
Intan Vina Yulianita,4,08 Oct 2023,Parkir di King's tidak dapat gratis di Bobobox.,Baru tahu kalau sekarang parkir di kings tidak dapat cap bobobox jadi harus bayar parkir. Mana parkir dari tgl 8 baru check out tgl 11🥲
Bagas Islami,4,07 Oct 2023,Semoga ada tissue di pod,Semoga nanti di setiap pod ada tissue
Donal Siahaan,4,05 Oct 2023,Next time I will stay here :),next time i will stay in here :)
michael kiran,4,01 Oct 2023,Charger di Pod 55 Bobobox Longgar,charger di pod 55 bobobox alun alun bandung longgar
Alifah Revalina Tasya,5,30 Sep 2023,"Tempat tidur nyaman, toilet bersih meski sharing.","Bagus, nyaman juga tmpt tidurny, toiletny bersih juga walaupun sharing"
Ayu Purwanti,5,30 Sep 2023,Lokasi strategis dekat Alun-Alun Bdg & Mall.,Lokasi sangat strategis dekat dengan Alun-Alun Bandung dan Mall
fony aulia,5,29 Sep 2023,"Staff ramah, pelayanan memuaskan.","staff ramahh, pelayanan memuaskan makasihhh yaa kaa"
Dwi Elya,5,28 Sep 2023,"Layanan luar biasa, terima kasih Bobobox 🫶","excelent service, thanks bobobox 🫶"
Radha Selvia,5,28 Sep 2023,Nyaman banget staycation,Nyaman banget buat staycation
Nandya Tiara,5,28 Sep 2023,Fun and the hospitality best. Location strategic,"It's my second time to stay at bobobox, so fun and the hospitality always best
The location very strategic
On of best facilities is a rooftop and elevator"
Reyzha Sevhani,5,21 Sep 2023,Bobobox terbaik di Ranca Upas.,"Tempat nya bersih, nyaman,dan ramah banget Kakak penjaga nya,enak banget bisa sambil musikan terus pengen lagi deh refreshing di sana lagi))) dan harga nya murce syekali"
Aisyah Novitri,5,15 Sep 2023,"Kamar bolak balik, tendang 5 kali.","kamar di bawahku bolak balik tendang tendang bed , cuma karna aku gerak sedikit, uda ada 5 kali"
Suci Amalia,5,06 Sep 2023,Cozy stay with rooftop near Braga Street.,"I love my stay at bobobox alun-alun Bandung because it's cozy and moreover the rooftop. The location is near with malls, Braga street and town square. Perfect!!"
Vivi Rizqi,5,05 Sep 2023,"Bersih, nyaman, adem, tidak terlalu penuh.","Bersih yang paling penting. Nyaman, ac adem, karena bukan weekend, jadi gak terlalu penuh mungkin ya."
Fikriyatul Ilmi,5,31 Aug 2023,"Suka bobobox, nyaman, asik vibenya.","Suka ngikutin Ig bobobox dan baru pertama kali ini stay. 

Asik kamarnya baik fasilitas ataupun vibenya dan Nyaman untuk istirahat.

Hostnya juga sangat membantu.... 

Pokoknya suka banget.... Next buat merchandisenya maskot bobobox pasti lucu."
SYELVIA SHOFYANTI,4,24 Aug 2023,Dalam pod ada TV biar tidak bosan.,Lebih enak kalau dalem pod ada tv. Jadi ga bosen.
vibia risa,5,23 Aug 2023,Pelayanan dan tempatnya mantap!,Mantap bagus sekali yaaaa untuk pelayanannya dan tempatnya yang homey sekali dan saya ingin terus bisa menginap di bobobox
Dianz Sulaeman,4,20 Aug 2023,"Kekurangan parkiran, gratis dari Bobobox.",kekurangan nya diparkiran aja tolong bisa lebih diperhatikan kedepan nya. disediakan oleh bobobox harusnya secara gratis.
Anas Robiyul,5,20 Aug 2023,"Comfortable for transit, comfortable to rest. Good","Comfortable for transit 
comfortable to rest,. Good"
Zizah Nur,5,18 Aug 2023,"Keren, tempatnya bersih, nyaman, cozy",KERENN tempatnya bersih bgt cozyyy
Ribka Ong,4,18 Aug 2023,"Maintenance needed, broken toilet. Not clean.",Have to maintenance. Many shower and toilet is broken and the floor is not clean enough
M Fiqri Nur Ikhsan,5,17 Aug 2023,"Comfortable sky double room, don't want to leave.","for the sky double room it's really comfortable, it's so comfortable you don't want to go anywhere"
Umar Kholiq,4,14 Aug 2023,. Sikat gigi disediakan di pod.,Biasanya disediakan sikat gigi di pod nya
Revani Dwi Nadya,5,13 Aug 2023,Penginapan nyaman dan ramah di Bandung,"Penginapan yg nyaman untuk yang sering traveling sendirian. Bersih dan ramah para pekerjanya, cepat ditanggapi juga kalaj ada kendala. Cuma emang kalau ribut kedengeran aja. Tapi selebihnya oke. Mau nginep disini lagi kalau ke bandung sendiri"
Muhamad Fahrizal Rilahi,5,12 Aug 2023,"Puas nginap di bobobox, ternyata lega dan nyaman","Secara keseluruhan sangat puas nginap di bobobox, awalnya kukira bakal sempit, ternyata lega juga dalamnya"
Faza Fauzan Azhari,5,07 Aug 2023,Mungkin bisa di tambah free snack ya kak,Mungkin bisa di tambah free snack kak hehe
Bobobox Alun Alun Bandung,5,06 Aug 2023,Cleanliness is good and friendly service,Cleanliness is good and friendly service
Yonathan Kusnandar,5,06 Aug 2023,"Bersih, nyaman, makanan lengkap","It's comfy.. very quite even near a main street..
i like the pods (room).. it's enough for me who liked solo travel.. and also affordable price.."
Fajar Novitasari,5,31 Jul 2023,"Pelayanan ramah, kamar bersih.","Pelayanan ramah baik, kamar bersih sipp"
Aldy,4,29 Jul 2023,"Akses perbelanjaan dekat, parkir hotel jauh.","Dekat akses ke perbelanjaan, hanya saja parkir yg tidak dekat dgn hotel"
Euis Safitri Mustika,5,28 Jul 2023,"Pertama nginap di Bobobox, staf ramah,kamar nyaman","pertama kali nginep di Bobobox. Stafnya ramah dari mulai check in - out. Kamarnya bersih & nyaman.
hanya saja airnya saat subuh kecil sekali keluarnya.

tapi overall oke banget & mau nginep lagi di sini next trip."
Hilman Septiawan,5,25 Jul 2023,"Playanan Ramah, nyaman, jugaaa!",Playanan Ramah sekali nyaman jugaaa
Muhamad Afriansah,5,25 Jul 2023,"Next time datang lagi, ada rooftop yang indah","Next time kesini lgi insyaAllah, enak ada rooftop ny maa syaa Allah"
Muhamad Afriansah,5,24 Jul 2023,"Keren rekomendasi, dekat kota, jalanan nyaman","Keren deh maa syaa Allah, recommended bnget pokoknya, dket alun-alun, asia afrika, braga jdi enak jalannya"
Fortuna Widiastuti,4,24 Jul 2023,Cleanliness can be improved in smelly area.,It a bit smelly and can the cleanliness can be improved a bit.
Pupu Sopuroh,5,23 Jul 2023,Kunci langsung dikunci setelah di lock sistem.,"Yg no 29 tolong itu kunci nya setelah di lock di sistem gk langsung nge kunci, alangkah baik nya langsung kunci, overall udh enak dan nyaman bangett.. terimakasih atas pelayanan nya🙏"
Affif Satrio,4,22 Jul 2023,Colokan di kamar 15 susah,Colokan di kamar 15 agak susah
Erwin Soegiarto,4,22 Jul 2023,Perbaiki POD agar suara tidak terdengar.,"Improve di POD agar suara dr masing2 POD tidak terdengar, jadi semisal kalo ada yg mendengkur tidak terdengar di masing2 POD"
Ilda Jauhari,5,21 Jul 2023,Semua staff ramah & helpfull. Terima kasih bobobox,"Semuanya melebihi ekspektasi, pasti menginap di bobobox lagi. Semua staff ramah & helpfull. Thanks bobobox!!"
Irfan,5,19 Jul 2023,Keep sheet and duvet clean. TQ for your service.,Please keep the cleanliness of sheet and duvet. Any spot there. But thank you very much for your service
Ima Nurisma,5,18 Jul 2023,"Bagus, bersih, nyaman.","Bagus, sngat bersih, dan nyaman"
Rimawan A. Mulya,5,18 Jul 2023,Tempat nyaman dekat Mall & Masjid,"Tempatnya nyaman, bersih terawat.
Di dalam gak bising...

Ada rooftopnya
Sebelahan sama Mall, dekat dengan Masjid Raya Bandung.

Minusnya, tak ada lahan parkir, ada parkir inap jadi harus jalan kaki dulu sedikit. Tapi tak apa, biar sehat..."
Nindya Agustina,5,15 Jul 2023,"Nyaman dan bersih, sukses Bobobox!","MasyaAllah, nginep disini aman dan nyaman.. semua fasilitas bersih.. walaupun kamar mandinya bareng"" tapi bersih banget.. Terimakasih Bobobox.. Sukses selalu yaaa"
NUKITA MEDICA PUTRI,5,14 Jul 2023,"Aku bakal balik lagi di BoboBox, asik!",Aku bakal balik lagi pokoknya di BoboBox sumpah se asik itu😭😭
Nurul Aulia,5,12 Jul 2023,"Terimakasih Bobobox, tidurnya nyaman!",Terimakasih bobobox tidur jdi super duper nyamann
Lintang Tafarany,5,10 Jul 2023,"Nyaman tdr di pod, dingin, pojok, nyaman.","Nyaman tdr di pod nya, dingin, dan dapet yg pojok jd gk begitu rame jd makin nyaman tdrnya"
M Raihanul Islam,4,09 Jul 2023,"Atur suhu ac di kamar, kepanasan.",Tolong taruh pengatur suhu ac di kamar. Soalnya saya kepanasan
veronicah mariaa agnesh,4,09 Jul 2023,"Tdr nyaman, tp menu makanan kurang.variasi.","Nyaman dan pules tdr nya, tp sayangnya menu makanan beratnya hrs serba di oven lg mager bolak balik rest room dan kamar :("
Lintang Tafarany,5,08 Jul 2023,"Fasilitas bagus, kamar nyaman, posisi strategis.","Fasilitas secara keseluruhan bagus, kamar nyaman, mas dan mba nya juga ramah. Selain itu juga posisi pod nya emg strategis kemana mana. Terbaikkks"
Nadia Permatasari,5,08 Jul 2023,Ditingkatkan kebersihan dengan cara lebih baik,Ditingkatkan lagi kebersihannya
A****,5,08 Jul 2023,Perbaiki kebersihan toilet -,Lebih ditingkatkan lagi perihal kebersihan toilet
Kamah Herawati,5,06 Jul 2023,Kemping glamour saat musim hujan menyenangkan.,Tempatnya bagus. Fasilitas nya juga lengkap. Ac super duper dingin. Air hangat berfungsi. Resepsionis nya ramah dan sangat membantu
Adelia Ramadhani,4,05 Jul 2023,"Tdk ada lahan parkir, info di aplikasi.",Gak ada lahan parkir.. gak ngeh kalo udah dikasih tau di aplikasi hehe
Adzany Saputri Intan,5,04 Jul 2023,Perfect stay with helpful and friendly staff.,"What a nice stay!
A perfect place to stay, helpful staffs also friendly, easy access and perfect for a visitor."
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
denandra fabio,5,07 Nov 2023,A comfortable place for rest,a comfortable and pleasant place to rest...
Nadya Surya Pratiwi,4,03 Nov 2023,Terima kasih atas layanan tersebut.,Terimakasih untuk pelayanannya
Tevi Andrian,4,03 Nov 2023,Lorong sempit tapi tempatnya okay,Pod yang saya tempati terlalu sempit lorongnya tapi overall it's okay
Mumun Musrin,5,02 Nov 2023,I don't expect the room to be comfortable.,I don't  expect the room could be that comfortable p
Nurul Diana Halimah Fadilla,5,30 Oct 2023,"Bagus, tolong perhatikan toilet. Terima kasih.",Sebenarnya bagus..hanya saja tolong lebih diperhatikan lagi ya untuk toiletnya..terima kasih
Dwika Yulistiaputri,5,27 Oct 2023,"Kamar bersih, wangi, staf ramah, titip tas ada","Kamar bersih, wangi, staf ramah semua. Boleh titip tas sebelum check in dan sesudah check out"
Narulia Ayu,5,27 Oct 2023,Terima kasih atas kenyamanannya.,Terima kasih atas kenyamanan nya ...
Hawally Garbi,5,26 Oct 2023,"Worth it, penginapan favorit, ga expect bagus.","Worth it paraaaahhhh💗💗💗
Ga expect ternyata sebagus itu. Bakal jd penginapan favorite kalo kemana mana"
Nurul Nisa Utami,5,23 Oct 2023,Saya suka menginap di bobobox.,I really like to stay in bobobox
Suryadi,5,23 Oct 2023,Kamar service dan pelayanan OK. Disarankan.,"Masih kedap suara
Untuk kamar service ok
Pelayanan ok.

Recommended"
Nida fadhilah,5,22 Oct 2023,"Staff ramah & sangat membantu, nyaman.",Nyaman staff nya ramah sangat membantu
Andini,4,19 Oct 2023,Pilih penginapan nyaman di Bandung.,"Nyaman dan posisi penginapannya gk terlalu klo mau kmana"" 😁 bkalan pilih d sini lg klo k bndung .."
Sinta Aprilya,5,16 Oct 2023,"Staff ramah, pelayanan bagus.",semua staff nya ramah2 pelayanan good
Sinta Aprilya,5,15 Oct 2023,"Req kamar no 7, excellent service","req kamar no 7 langsung dapet, excellent service"
Trifena Klaudia Natan,5,15 Oct 2023,"Very cozy, wish stay longer",Very cozy 👌 i wish i could stay longer
IqbalSaptaAbdiDwitama,5,13 Oct 2023,Staycation di Bobobox nyaman,staycation di bobobox emang bikin nyaman 😇
Intan Vina Yulianita,4,08 Oct 2023,Parkir di King's tidak dapat gratis di Bobobox.,Baru tahu kalau sekarang parkir di kings tidak dapat cap bobobox jadi harus bayar parkir. Mana parkir dari tgl 8 baru check out tgl 11🥲
Bagas Islami,4,07 Oct 2023,Semoga ada tissue di pod,Semoga nanti di setiap pod ada tissue
Donal Siahaan,4,05 Oct 2023,Next time I will stay here :),next time i will stay in here :)
michael kiran,4,01 Oct 2023,Charger di Pod 55 Bobobox Longgar,charger di pod 55 bobobox alun alun bandung longgar
Alifah Revalina Tasya,5,30 Sep 2023,"Tempat tidur nyaman, toilet bersih meski sharing.","Bagus, nyaman juga tmpt tidurny, toiletny bersih juga walaupun sharing"
Ayu Purwanti,5,30 Sep 2023,Lokasi strategis dekat Alun-Alun Bdg & Mall.,Lokasi sangat strategis dekat dengan Alun-Alun Bandung dan Mall
fony aulia,5,29 Sep 2023,"Staff ramah, pelayanan memuaskan.","staff ramahh, pelayanan memuaskan makasihhh yaa kaa"
Dwi Elya,5,28 Sep 2023,"Layanan luar biasa, terima kasih Bobobox 🫶","excelent service, thanks bobobox 🫶"
Radha Selvia,5,28 Sep 2023,Nyaman banget staycation,Nyaman banget buat staycation
Nandya Tiara,5,28 Sep 2023,Fun and the hospitality best. Location strategic,"It's my second time to stay at bobobox, so fun and the hospitality always best
The location very strategic
On of best facilities is a rooftop and elevator"
Reyzha Sevhani,5,21 Sep 2023,Bobobox terbaik di Ranca Upas.,"Tempat nya bersih, nyaman,dan ramah banget Kakak penjaga nya,enak banget bisa sambil musikan terus pengen lagi deh refreshing di sana lagi))) dan harga nya murce syekali"
Aisyah Novitri,5,15 Sep 2023,"Kamar bolak balik, tendang 5 kali.","kamar di bawahku bolak balik tendang tendang bed , cuma karna aku gerak sedikit, uda ada 5 kali"
Suci Amalia,5,06 Sep 2023,Cozy stay with rooftop near Braga Street.,"I love my stay at bobobox alun-alun Bandung because it's cozy and moreover the rooftop. The location is near with malls, Braga street and town square. Perfect!!"
Vivi Rizqi,5,05 Sep 2023,"Bersih, nyaman, adem, tidak terlalu penuh.","Bersih yang paling penting. Nyaman, ac adem, karena bukan weekend, jadi gak terlalu penuh mungkin ya."
Fikriyatul Ilmi,5,31 Aug 2023,"Suka bobobox, nyaman, asik vibenya.","Suka ngikutin Ig bobobox dan baru pertama kali ini stay. 

Asik kamarnya baik fasilitas ataupun vibenya dan Nyaman untuk istirahat.

Hostnya juga sangat membantu.... 

Pokoknya suka banget.... Next buat merchandisenya maskot bobobox pasti lucu."
SYELVIA SHOFYANTI,4,24 Aug 2023,Dalam pod ada TV biar tidak bosan.,Lebih enak kalau dalem pod ada tv. Jadi ga bosen.
vibia risa,5,23 Aug 2023,Pelayanan dan tempatnya mantap!,Mantap bagus sekali yaaaa untuk pelayanannya dan tempatnya yang homey sekali dan saya ingin terus bisa menginap di bobobox
Dianz Sulaeman,4,20 Aug 2023,"Kekurangan parkiran, gratis dari Bobobox.",kekurangan nya diparkiran aja tolong bisa lebih diperhatikan kedepan nya. disediakan oleh bobobox harusnya secara gratis.
Anas Robiyul,5,20 Aug 2023,"Comfortable for transit, comfortable to rest. Good","Comfortable for transit 
comfortable to rest,. Good"
Zizah Nur,5,18 Aug 2023,"Keren, tempatnya bersih, nyaman, cozy",KERENN tempatnya bersih bgt cozyyy
Ribka Ong,4,18 Aug 2023,"Maintenance needed, broken toilet. Not clean.",Have to maintenance. Many shower and toilet is broken and the floor is not clean enough
